Photograph of Sarah Patterson and the Wolf;rdf:type;Photograph
Photograph of Sarah Patterson and the Wolf;crm:P62_depicts;Sarah Patterson
Photograph of Sarah Patterson and the Wolf;crm:P62_depicts;The Company of Wolves
Photograph of Sarah Patterson and the Wolf;dcterms:isPartOf;Collection of Photographs from Company of Wolves
Collection of Photographs from Company of Wolves;schema:title;Photographs from The Company of Wolves, a film by Neil Jordan and Angela Carter
Collection of Photographs from Company of Wolves;schema:locationCreated;England
Collection of Photographs from Company of Wolves;schema:dateCreated;1984
Collection of Photographs from Company of Wolves;dcterms:creator;ITC Entertainment Palace Production
Collection of Photographs from Company of Wolves;schema:holdingArchive;British Library
